host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample	sample_name	bamfile	project	mapq.filt
Toti	Illumina	V1_V3	minitax	BestAln	EMUdb	Z	3	Toti_Illumina_V1_V3_minitax_BestAln_EMUdb_Z_3	Z3			
Toti	Illumina	V1_V3	minitax	BestAln	EMUdb	Z	4	Toti_Illumina_V1_V3_minitax_BestAln_EMUdb_Z_4	Z4			
Toti	Illumina	V3_V4	dada2		EMUdb	I	1	Toti_Illumina_V3_V4_dada2_EMUdb_I_1	I1			
Toti	Illumina	V3_V4	dada2		EMUdb	I	2	Toti_Illumina_V3_V4_dada2_EMUdb_I_2	I2			
Toti	Illumina	V3_V4	dada2		EMUdb	I	3	Toti_Illumina_V3_V4_dada2_EMUdb_I_3	I3			
Toti	Illumina	V3_V4	dada2		EMUdb	I	4	Toti_Illumina_V3_V4_dada2_EMUdb_I_4	I4			
Toti	Illumina	V3_V4	dada2		EMUdb	MN	1	Toti_Illumina_V3_V4_dada2_EMUdb_MN_1	MN1			
Toti	Illumina	V3_V4	dada2		EMUdb	MN	2	Toti_Illumina_V3_V4_dada2_EMUdb_MN_2	MN2			
Toti	Illumina	V3_V4	dada2		EMUdb	MN	3	Toti_Illumina_V3_V4_dada2_EMUdb_MN_3	MN3			
Toti	Illumina	V3_V4	dada2		EMUdb	MN	4	Toti_Illumina_V3_V4_dada2_EMUdb_MN_4	MN4			
Toti	Illumina	V3_V4	dada2		EMUdb	Z	1	Toti_Illumina_V3_V4_dada2_EMUdb_Z_1	Z1			
Toti	Illumina	V3_V4	dada2		EMUdb	Z	2	Toti_Illumina_V3_V4_dada2_EMUdb_Z_2	Z2			
Toti	Illumina	V3_V4	dada2		EMUdb	Z	3	Toti_Illumina_V3_V4_dada2_EMUdb_Z_3	Z3			
Toti	Illumina	V3_V4	dada2		EMUdb	Z	4	Toti_Illumina_V3_V4_dada2_EMUdb_Z_4	Z4			
Toti	Illumina	V3_V4	dada2		SILVA	I	1	Toti_Illumina_V3_V4_dada2_SILVA_I_1	I1			
Toti	Illumina	V3_V4	dada2		SILVA	I	2	Toti_Illumina_V3_V4_dada2_SILVA_I_2	I2			
Toti	Illumina	V3_V4	dada2		SILVA	I	3	Toti_Illumina_V3_V4_dada2_SILVA_I_3	I3			
Toti	Illumina	V3_V4	dada2		SILVA	I	4	Toti_Illumina_V3_V4_dada2_SILVA_I_4	I4			
Toti	Illumina	V3_V4	dada2		SILVA	MN	1	Toti_Illumina_V3_V4_dada2_SILVA_MN_1	MN1			
Toti	Illumina	V3_V4	dada2		SILVA	MN	2	Toti_Illumina_V3_V4_dada2_SILVA_MN_2	MN2			
Toti	Illumina	V3_V4	dada2		SILVA	MN	3	Toti_Illumina_V3_V4_dada2_SILVA_MN_3	MN3			
Toti	Illumina	V3_V4	dada2		SILVA	MN	4	Toti_Illumina_V3_V4_dada2_SILVA_MN_4	MN4			
Toti	Illumina	V3_V4	dada2		SILVA	Z	1	Toti_Illumina_V3_V4_dada2_SILVA_Z_1	Z1			
Toti	Illumina	V3_V4	dada2		SILVA	Z	2	Toti_Illumina_V3_V4_dada2_SILVA_Z_2	Z2			
Toti	Illumina	V3_V4	dada2		SILVA	Z	3	Toti_Illumina_V3_V4_dada2_SILVA_Z_3	Z3			
Toti	Illumina	V3_V4	dada2		SILVA	Z	4	Toti_Illumina_V3_V4_dada2_SILVA_Z_4	Z4			
Toti	Illumina	V3_V4	EMU		EMUdb	I	1	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	I1			
Toti	Illumina	V3_V4	EMU		EMUdb	I	2	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	I2			
Toti	Illumina	V3_V4	EMU		EMUdb	I	3	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	I3			
Toti	Illumina	V3_V4	EMU		EMUdb	I	4	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	I4			
Toti	Illumina	V3_V4	EMU		EMUdb	MN	1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	MN1			
Toti	Illumina	V3_V4	EMU		EMUdb	MN	2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	MN2			
Toti	Illumina	V3_V4	EMU		EMUdb	MN	3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	MN3			
Toti	Illumina	V3_V4	EMU		EMUdb	MN	4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	MN4			
Toti	Illumina	V3_V4	EMU		EMUdb	Z	1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Z1			
Toti	Illumina	V3_V4	EMU		EMUdb	Z	2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Z2			
Toti	Illumina	V3_V4	EMU		EMUdb	Z	3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Z3			
Toti	Illumina	V3_V4	EMU		EMUdb	Z	4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Z4			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	I1			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	I2			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	I3			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	I4			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	MN1			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	MN2			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	MN3			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	MN4			
Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	Z	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Z1			
